contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPXW250922P02600000,2025-08-20 15:01:20+00:00,2600.0,0.1,0.0,0.15,0.0,0.0,7.0,9,0.90429783203125,False,REGULAR,USD
SPXW250922P03600000,2025-08-20 16:22:36+00:00,3600.0,0.4,0.05,0.35,0.0,0.0,5.0,6,0.6381872119140625,False,REGULAR,USD
SPXW250922P04000000,2025-08-22 20:03:59+00:00,4000.0,0.35,0.25,0.55,-0.25000003,-41.666668,15.0,55,0.5617719604492188,False,REGULAR,USD
SPXW250922P04200000,2025-08-21 13:53:38+00:00,4200.0,0.8,0.35,0.7,-0.099999964,-11.111108,4.0,13,0.5214891601562499,False,REGULAR,USD
SPXW250922P04400000,2025-08-21 19:34:10+00:00,4400.0,1.2,0.55,0.8,0.0,0.0,21.0,81,0.4891408508300782,False,REGULAR,USD
SPXW250922P04600000,2025-08-22 19:18:08+00:00,4600.0,1.0,0.8,1.15,-0.82000005,-45.054947,2.0,70,0.45435115966796874,False,REGULAR,USD
SPXW250922P04800000,2025-08-22 17:49:47+00:00,4800.0,1.45,1.15,1.4,-1.0,-40.816326,678.0,24,0.41156594299316407,False,REGULAR,USD
SPXW250922P05000000,2025-08-22 18:49:52+00:00,5000.0,1.9,1.6,1.9,-1.0500001,-35.593224,1.0,123,0.3740907318115234,False,REGULAR,USD
SPXW250922P05100000,2025-08-21 00:31:46+00:00,5100.0,3.2,1.85,2.25,0.0,0.0,15.0,26,0.35596347167968745,False,REGULAR,USD
SPXW250922P05200000,2025-08-22 19:57:12+00:00,5200.0,2.5,2.2,2.5,-1.6999998,-40.47619,72.0,292,0.3347844842529296,False,REGULAR,USD
SPXW250922P05300000,2025-08-22 19:57:14+00:00,5300.0,2.9,2.55,2.9,-2.06,-41.532257,84.0,621,0.31537549865722647,False,REGULAR,USD
SPXW250922P05400000,2025-08-22 19:57:20+00:00,5400.0,3.4,3.0,3.4,-1.9000001,-35.849056,199.0,40,0.2961801339721679,False,REGULAR,USD
SPXW250922P05500000,2025-08-21 14:11:11+00:00,5500.0,4.0,3.5,3.9,-2.1399999,-34.85342,82.0,103,0.2757335610961914,False,REGULAR,USD
SPXW250922P05600000,2025-08-22 19:30:32+00:00,5600.0,4.4,4.1,4.6,-3.1799998,-41.952507,78.0,236,0.25604992004394533,False,REGULAR,USD
SPXW250922P05700000,2025-08-22 20:09:26+00:00,5700.0,5.2,5.0,5.5,-4.1000004,-44.086025,125.0,250,0.23641205490112305,False,REGULAR,USD
SPXW250922P05800000,2025-08-22 20:14:48+00:00,5800.0,6.4,6.2,6.8,-6.9,-51.8797,124.0,296,0.2174760870361328,False,REGULAR,USD
SPXW250922P05850000,2025-08-22 20:00:57+00:00,5850.0,7.4,7.1,7.6,-7.4500003,-50.168354,41.0,47,0.2079089219665527,False,REGULAR,USD
SPXW250922P05875000,2025-08-22 18:38:34+00:00,5875.0,8.1,7.5,8.2,-8.289999,-50.57962,54.0,84,0.20388064193725586,False,REGULAR,USD
SPXW250922P05900000,2025-08-22 19:22:25+00:00,5900.0,8.7,8.2,8.7,-8.900001,-50.56818,96.0,227,0.19908943008422852,False,REGULAR,USD
SPXW250922P05925000,2025-08-22 19:58:03+00:00,5925.0,9.3,8.7,9.4,-9.4800005,-50.479233,12.0,35,0.19500774482727048,False,REGULAR,USD
SPXW250922P05950000,2025-08-22 19:57:25+00:00,5950.0,10.2,9.4,10.1,-7.5099993,-42.40542,11.0,25,0.190613257522583,False,REGULAR,USD
